City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
134,Alofi,NU,66.09,clear sky,-19.0595,-169.9187,Taloa Heights
135,Saldanha,ZA,73.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
136,Arcachon,FR,73.42,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
137,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
138,Soyo,AO,81.23,scattered clouds,-6.1349,12.3689,Hotel Mpampa
139,Isangel,VU,75.9,clear sky,-19.55,169.2667,Tanna Lodge
140,Boundiali,CI,89.08,few clouds,9.5217,-6.4869,Hotel Paysan Boundiali
141,Innisfail,AU,73.58,few clouds,-17.5333,146.0333,Moondarra Motel
142,Venice,US,82.0,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
143,Kavaratti,IN,80.64,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
144,Tiznit,MA,74.41,clear sky,29.5833,-9.5,
145,Rosita,NI,75.49,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
146,Fier,AL,69.89,clear sky,40.7239,19.5561,Hotel Fieri
147,Salamiyah,SY,76.26,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
148,Sawakin,SD,88.25,overcast clouds,19.1059,37.3321,فندق الدويم
149,Omboue,GA,81.18,overcast clouds,-1.5746,9.2618,Hotel Olako
150,Basco,PH,79.65,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
151,Ambilobe,MG,81.99,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
152,Ouahigouya,BF,97.3,scattered clouds,13.5828,-2.4216,Hotel Liberte
153,Saraland,US,68.22,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
154,Manuk Mangkaw,PH,84.06,overcast clouds,4.8,119.85,
155,Viseu,PT,71.31,overcast clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
156,Bantou,CN,66.6,scattered clouds,26.2151,117.4893,
157,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
158,Jatai,BR,83.39,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
159,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
160,Erzin,TR,72.12,light rain,36.9559,36.2,Artemis Otel
161,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
162,Paita,PE,66.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
163,Alexandria,EG,79.75,broken clouds,31.2156,29.9553,Royal Crown Hotel
164,Humaita,BR,82.92,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
165,Akyab,MM,81.34,few clouds,20.15,92.9,Hotel Memory
166,Camocim,BR,90.43,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
167,Wanning,CN,75.58,light rain,18.8003,110.3967,Paradise Hotel
168,Jatiroto,ID,76.93,light rain,-7.8833,111.1167,Mushola Al Huda
169,Tripoli,LY,72.84,scattered clouds,32.8752,13.1875,Hotel Al-Safwa
170,Kerema,PG,80.24,overcast clouds,-7.9631,145.7785,Frena Lodge
171,Dunda,TZ,90.68,broken clouds,-8.1167,34.25,
172,Faya,SA,71.71,few clouds,18.3851,42.4509,املاك خالد الشعشوع
173,Cockburn Town,TC,82.33,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
174,Acajutiba,BR,80.82,light rain,-11.6622,-38.0172,Recanto Da Lucinha
175,Kudahuvadhoo,MV,82.65,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
176,Vila Do Maio,CV,83.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
177,Abu Kamal,SY,81.46,clear sky,34.4506,40.9171,محطة التلفاز
178,Port Blair,IN,81.75,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,Zambezi,ZM,89.82,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
180,Awbari,LY,83.86,overcast clouds,26.5921,12.7805,فندق أوباري
181,Pachino,IT,68.04,heavy intensity rain,36.7186,15.0907,Pietra Bianca B&B
182,Dekar,BW,74.66,overcast clouds,-21.5333,21.9333,
183,Cidreira,BR,71.92,clear sky,-30.1811,-50.2056,Hotel Castelo
184,Mount Isa,AU,85.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
185,Tarakan,ID,82.26,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
186,Prado,BR,80.96,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
187,Bubaque,GW,81.3,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
188,Candolim,IN,84.2,few clouds,15.5181,73.7626,Resort Terra Paraiso
189,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
190,Libertador General San Martin,AR,88.97,clear sky,-23.8064,-64.7876,Posada del Sol
191,Tambura,SS,84.76,overcast clouds,5.6,27.4667,Rikito Lodge
192,Wattegama,LK,76.12,broken clouds,6.7989,81.4808,
193,Xuddur,SO,77.22,moderate rain,4.1213,43.8894,Banjanay Hotel
