City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Hilo,US,2021-10-25 22:11:48,19.7297,-155.09,89.28,77,40,11.5
99,Vanimo,PG,2021-10-25 22:11:48,-2.6741,141.3028,79.0,86,45,4.97
100,Dire,ML,2021-10-25 22:11:48,12.2833,-10.9667,76.08,88,43,1.19
101,Songjianghe,CN,2021-10-25 22:11:49,42.1859,127.479,36.05,81,82,5.59
102,Yellowknife,CA,2021-10-25 22:11:49,62.456,-114.3525,42.42,94,90,8.05
103,Nagapattinam,IN,2021-10-25 22:11:49,10.7667,79.8333,80.2,80,100,7.67
104,Sikasso,ML,2021-10-25 22:11:50,10.9167,-7.0,78.08,70,88,4.23
105,Atambua,ID,2021-10-25 22:11:50,-9.1061,124.8925,75.13,82,87,3.56
106,Pucallpa,PE,2021-10-25 22:11:50,-8.3791,-74.5539,71.64,78,75,8.05
107,Ixtapa,MX,2021-10-25 22:11:50,20.7,-105.2,84.22,74,90,9.22
108,Port Alfred,ZA,2021-10-25 22:07:21,-33.5906,26.891,62.29,85,20,14.25
109,Kieta,PG,2021-10-25 22:11:51,-6.2167,155.6333,83.53,71,27,0.74
110,Narsaq,GL,2021-10-25 22:11:51,60.9167,-46.05,28.62,49,28,9.82
111,Ballina,AU,2021-10-25 22:11:52,-28.8667,153.5667,71.78,85,64,12.03
112,Conneaut,US,2021-10-25 22:11:52,41.9476,-80.5542,63.97,85,100,5.91
113,Punta Arenas,CL,2021-10-25 22:11:52,-53.15,-70.9167,42.91,65,75,10.36
114,Usinsk,RU,2021-10-25 22:11:52,65.9939,57.5281,7.66,90,21,8.32
115,Kavieng,PG,2021-10-25 22:11:53,-2.5744,150.7967,82.92,71,98,3.56
116,North Bend,US,2021-10-25 22:07:44,43.4065,-124.2243,57.24,96,90,12.66
117,Kruisfontein,ZA,2021-10-25 22:11:53,-34.0033,24.7314,61.88,93,3,4.52
118,Pskov,RU,2021-10-25 22:11:53,57.8136,28.3496,35.51,87,0,4.47
119,Hutchinson,US,2021-10-25 22:08:14,38.0608,-97.9298,58.48,62,1,10.36
120,Caranavi,BO,2021-10-25 22:11:54,-15.8167,-67.55,69.94,53,48,2.75
121,Quatre Cocos,MU,2021-10-25 22:11:54,-20.2078,57.7625,69.1,74,23,17.22
122,Santarem,BR,2021-10-25 22:11:55,-2.4431,-54.7083,80.73,94,0,2.3
123,New Norfolk,AU,2021-10-25 22:11:55,-42.7826,147.0587,52.66,58,20,1.01
124,Saldanha,ZA,2021-10-25 22:11:55,-33.0117,17.9442,61.9,75,55,11.23
125,Batticaloa,LK,2021-10-25 22:11:56,7.7102,81.6924,78.87,83,97,6.91
126,Beringovskiy,RU,2021-10-25 22:11:56,63.05,179.3167,13.21,73,100,5.48
127,Vardo,NO,2021-10-25 22:11:56,70.3705,31.1107,32.2,78,100,23.2
128,Hospet,IN,2021-10-25 22:11:56,15.2667,76.4,70.63,67,63,7.4
129,Puerto Ayora,EC,2021-10-25 22:10:35,-0.7393,-90.3518,73.36,93,55,4.0
130,Hampton,US,2021-10-25 22:09:41,37.0299,-76.3452,72.01,83,90,5.75
131,Nador,MA,2021-10-25 22:11:57,35.174,-2.9287,66.45,72,0,4.61
132,Solnechnyy,RU,2021-10-25 22:11:57,50.7214,136.6319,33.87,79,21,4.74
133,Aitape,PG,2021-10-25 22:11:58,-3.1374,142.3475,80.98,78,31,3.91
134,Aswan,EG,2021-10-25 22:11:58,24.0934,32.907,74.84,29,0,10.74
135,Provideniya,RU,2021-10-25 22:11:58,64.3833,-173.3,21.31,58,90,4.47
136,Belmonte,BR,2021-10-25 22:11:59,-15.8631,-38.8828,77.5,91,100,7.54
137,Bethel,US,2021-10-25 22:07:16,41.3712,-73.414,69.73,84,90,9.22
138,Monte Alegre De Sergipe,BR,2021-10-25 22:11:59,-10.0272,-37.5622,76.5,66,6,16.84
139,Rapid Valley,US,2021-10-25 22:11:59,44.0625,-103.1463,71.42,48,1,1.99
140,Deputatskiy,RU,2021-10-25 22:12:00,69.3,139.9,-2.78,99,99,0.76
